name,frequency
Emma,210507
Noah,202434
Olivia,202002
Sophia,194004
Liam,193579
Isabella,182508
William,172386
Jacob,172283
Ava,168866
Mason,168112
Ethan,158482
Michael,154686
Alexander,152211
James,151924
Elijah,149981
Benjamin,146568
Logan,144762
Daniel,143238
Mia,140148
Jayden,138928
Aiden,138261
Matthew,133032
Lucas,129888
Abigail,126446
Jackson,125224
David,124741
Emily,124417
Joseph,123937
Anthony,118955
Samuel,116515
Charlotte,115440
Gabriel,112734
Oliver,112293
Joshua,112027
Avery,111681
Andrew,110938
John,110866
Dylan,110490
Christopher,108142
Carter,107211
Amelia,106484
Madison,104664
Henry,103281
Ryan,102742
Isaac,101535
Elizabeth,101186
Luke,100943
Owen,99702
Harper,96719
Evelyn,96392
Wyatt,96014
Sebastian,95579
Jack,94543
Nathan,93582
Ella,93172
Caleb,92206
Chloe,91308
Christian,89841
Sofia,89240
Levi,87091
Julian,86992
Riley,85777
Jonathan,84453
Landon,84069
Hunter,82155
Isaiah,82131
Jordan,81186
Angel,79231
Grace,78535
Cameron,77316
Addison,76355
Thomas,76332
Victoria,76147
Charles,76147
Aaron,75453
Jaxon,75157
Eli,75081
Grayson,74729
Lily,73439
Connor,72626
Natalie,72320
Adrian,71706
Jeremiah,71124
Aubrey,70875
Nicholas,70719
Zoey,70191
Lillian,69371
Hannah,69345
Layla,69289
Brayden,69179
Josiah,69051
Evan,68520
Parker,68214
Robert,66900
Camila,65864
Gavin,64853
Scarlett,64709
Brooklyn,64517
Austin,63667
Tyler,63352
Colton,63338
Zoe,62809
Leah,60426
Lincoln,59776
Samantha,59775
Mateo,59336
Dominic,59080
Jose,58822
Hudson,58730
Peyton,58526
Aria,58384
Ian,56650
Asher,56344
Brandon,56293
Audrey,55309
Savannah,55271
Nolan,55210
Anna,54689
Adam,54339
Cooper,54326
Zachary,53749
Penelope,53643
Jason,53557
Kevin,53514
Carson,53501
Chase,53437
Ayden,52920
Alexis,52800
Xavier,52454
Allison,52054
Blake,52006
Leo,51829
Claire,51534
Easton,51422
Gabriella,51237
Jace,51165
Hailey,50809
Mila,50596
Aaliyah,50139
Nora,49609
Sarah,49573
Theodore,49040
Stella,48821
Ellie,48747
Hayden,48472
Nevaeh,47926
Bentley,47815
Justin,47725
Sawyer,47700
Taylor,47139
Kayden,46920
Ezra,46917
Kaylee,46806
Elias,46795
Bella,46638
Violet,46600
Eleanor,46422
Jaxson,46417
Lucy,46333
Skylar,46239
Genesis,44853
Nathaniel,44659
Ariana,44369
Arianna,43868
Maya,43383
Alexa,43139
Caroline,42881
Kennedy,42861
Madelyn,42656
Micah,42596
Gianna,42329
Serenity,42118
Luna,41822
Miles,41804
Paisley,41772
Bryson,41701
Luis,41607
Tristan,40930
Santiago,40912
Autumn,40726
Quinn,40155
Naomi,40146
Ryder,40017
Juan,39759
Vincent,39757
Sadie,39675
Roman,39439
Brody,39304
Hazel,39301
Alyssa,39210
Leonardo,39120
Cole,39097
Ashley,38908
Sophie,38907
Brianna,38590
Damian,38378
Julia,38332
Kylie,38012
Eva,37962
Carlos,37560
Mackenzie,37513
Greyson,37496
Aurora,37268
Ruby,36678
Max,36618
Axel,36284
Diego,36105
Katherine,35976
Jesus,35885
