name,frequency
Mary,422411
Robert,363186
John,341670
James,317633
William,312954
Dorothy,224234
Betty,194103
Charles,182815
Helen,167185
George,158237
Joseph,145764
Richard,144555
Margaret,142654
Ruth,127068
Donald,124436
Edward,119130
Virginia,100869
Thomas,99608
Doris,96157
Frank,90005
Mildred,84566
Frances,82685
Elizabeth,81519
Paul,81500
Harold,81025
Raymond,75509
Evelyn,72841
Jack,72758
Anna,71759
Walter,71260
Jean,70233
Shirley,68268
Alice,66253
Marie,64276
Willie,63828
Barbara,63792
Kenneth,62667
Henry,62371
Arthur,57900
Lois,57634
Albert,56368
Irene,54919
David,54401
Marjorie,53982
Eugene,53363
Martha,52152
Patricia,51314
Harry,50902
Ralph,50872
Florence,50618
Rose,50384
Louise,48790
Lillian,48203
Gloria,47063
Catherine,46309
Ruby,46074
Eleanor,44503
Norma,43039
Marion,42806
Carl,42222
Howard,41868
Annie,41606
Gladys,41534
Louis,40475
Phyllis,40471
Thelma,40400
Josephine,39825
Clarence,39440
Edna,39420
Francis,38607
Joe,38525
Earl,38187
Roy,38165
Pauline,37900
Fred,37879
Lucille,36507
June,36091
Edith,36014
Ethel,35605
Grace,34328
Lawrence,34073
Bernice,33678
Hazel,33597
Herbert,33133
Dolores,32877
Leonard,32406
Ernest,32135
Lorraine,31429
Norman,31079
Rita,30657
Alfred,30470
Juanita,30425
Joyce,30238
Anthony,29980
Stanley,29617
Ann,29463
Billy,29394
Geraldine,29253
Jane,28627
Gerald,28470
Beatrice,28384
Joan,28186
Esther,28165
Sarah,27868
Clara,27811
Emma,27373
Nancy,27032
Daniel,26761
Jessie,25830
Samuel,25752
Bernard,25495
Melvin,24990
Marvin,24809
Marilyn,24481
Katherine,24449
Elsie,24379
Wilma,24010
Theresa,23966
Audrey,23913
Marian,23646
Wanda,23612
Gertrude,23453
Julia,23124
Leroy,23005
Elaine,22859
Agnes,22232
Michael,22175
Russell,22164
Bertha,22119
Eva,21976
Leo,21928
Vivian,21550
Charlotte,21397
Beverly,21109
Andrew,21014
Edwin,20994
Laura,20952
Ida,20689
Kathleen,20566
Floyd,20284
Peter,20229
Elmer,20186
Maxine,20097
Ray,19957
Lloyd,19791
Anne,19466
Calvin,19413
Kathryn,19226
Vera,19011
Clifford,18909
Warren,18905
Theodore,18736
Viola,18678
Bessie,18665
Frederick,18619
Pearl,18598
Jeanne,18441
Billie,18355
Alma,17583
Vernon,17543
Clyde,17460
Donna,17460
Violet,17389
Eileen,17362
Ella,17333
Lillie,17271
Lee,17052
Myrtle,16982
Herman,16980
Nellie,16859
Rosemary,16835
Ellen,16691
Johnnie,16613
Wayne,16522
Philip,16464
Alvin,16443
Margie,16165
Lucy,16037
Chester,16007
Gordon,15885
Charlie,15774
Vincent,15604
Leon,15505
Bonnie,15449
Minnie,15418
Glenn,15387
Lester,15265
Carol,15255
Sylvia,15181
Lewis,15097
Mattie,14977
Peggy,14779
Leona,14753
Bill,14692
Janet,14644
Martin,14525
Dale,14478
Carolyn,14415
Milton,14361
Arlene,14152
Stella,14137
Maria,14073
Georgia,13987
Geneva,13894
Cecil,13865
Jesse,13774
Genevieve,13723
Ronald,13482
Christine,13444
Roger,13412
Velma,13405
Mabel,13304
Gene,13184
Mae,13178
Harvey,12988
Lena,12977
Wallace,12967
Jennie,12698
Loretta,12695
Jacqueline,12514
Rosa,12446
Victor,12406
Sara,12257
Muriel,12242
Allen,12159
Benjamin,12127
Eddie,12112
Jerry,12109
Harriet,12087
Opal,12055
Sam,12031
Jimmie,11992
Eunice,11938
Marguerite,11731
Jeanette,11703
Arnold,11698
Roberta,11152
Carrie,11082
Dora,10958
Don,10937
Gilbert,10886
Naomi,10781
Blanche,10779
Emily,10712
Willard,10665
Hilda,10587
Edgar,10498
Beulah,10442
Alberta,10416
Roland,10416
Douglas,10399
Delores,10391
Anita,10351
Oscar,10152
Laverne,10103
Inez,10082
Claude,9832
Maurice,9742
Claire,9688
Curtis,9607
Bobby,9584
Everett,9543
Jerome,9534
Lula,9487
Hattie,9474
Verna,9464
Leslie,9419
Manuel,9397
Constance,9390
Fannie,9344
Virgil,9222
Cora,9212
Bob,9195
Glen,9156
Miriam,9146
Wilbur,9114
Jose,8895
Madeline,8883
Homer,8773
Junior,8766
Stephen,8700
Lola,8673
Rosie,8656
Ada,8622
Hubert,8581
Erma,8456
Bette,8419
Mamie,8418
Hugh,8332
Sally,8312
Bruce,8311
Rudolph,8299
Rachel,8273
Sidney,8273
Flora,8072
Morris,8000
Max,7998
Mable,7980
Daisy,7868
Janice,7853
Nicholas,7836
Marcella,7748
Wesley,7717
Luther,7570
Imogene,7374
Johnny,7353
Carmen,7343
Caroline,7238
Franklin,7203
Dean,7168
Tom,7153
Rebecca,7148
Nora,7093
Irma,7072
Susie,7059
Eula,7050
Patrick,7023
Estelle,7006
Alexander,6985
Patsy,6948
Olga,6942
Eloise,6913
Winifred,6877
Willis,6874
Rosalie,6821
Maggie,6770
Keith,6732
Antoinette,6717
Horace,6714
Bobbie,6705
Bettie,6693
Irving,6645
Nina,6643
Jim,6609
Merle,6492
Steve,6447
Lila,6432
Earnest,6383
Lorene,6341
Oliver,6269
Sophie,6235
Ollie,6225
Faye,6191
Ben,6164
Regina,6159
Bennie,6095
Julius,6064
Cleo,6048
Sadie,6030
Salvatore,5941
Lyle,5938
Della,5936
Edmund,5931
Victoria,5912
Tony,5883
Henrietta,5865
Ernestine,5824
Yvonne,5821
Teresa,5792
Phillip,5716
Guy,5712
Jeannette,5695
Olive,5686
Delbert,5598
Fern,5586
Iris,5575
Clayton,5569
Angelina,5557
Duane,5510
Adeline,5475
Archie,5407
Orville,5387
Melba,5374
Otis,5361
Katie,5294
Gwendolyn,5276
Lydia,5203
Alex,5141
Angelo,5125
Essie,5113
Jewel,5096
Jacob,5081
Mike,5075
Clifton,4991
Ira,4986
Joanne,4981
Dennis,4968
Nettie,4965
Joy,4962
Priscilla,4954
Lottie,4937
Freddie,4910
Dan,4905
Ora,4890
Lucile,4859
Darlene,4855
Freda,4851
Clinton,4842
Jewell,4841
Susan,4840
Amelia,4830
Jay,4808
Matthew,4794
Annette,4747
Veronica,4734
Leland,4674
Isabel,4671
Dorothea,4648
Jimmy,4634
May,4606
Wilbert,4591
Marshall,4586
Nathaniel,4502
Colleen,4468
Ivan,4454
Tommie,4431
Larry,4411
Alan,4405
Angeline,4402
Lela,4387
Reba,4355
Jo,4330
Lowell,4330
Tommy,4329
Lonnie,4317
Ervin,4315
Goldie,4311
Ramona,4299
Johnie,4296
Dewey,4292
Nadine,4263
Juan,4210
Luella,4204
Sallie,4195
Jesus,4185
Alton,4153
Irvin,4150
Iva,4135
Carroll,4133
Connie,4122
Janie,4116
Antonio,4112
Allan,4107
Ted,4080
