name,frequency
Liam,79133
Noah,74994
Olivia,72950
Emma,71470
Ava,58671
William,55869
Sophia,55709
Isabella,55278
Oliver,54870
James,53532
Elijah,52894
Benjamin,52523
Charlotte,52244
Logan,50195
Amelia,49906
Mia,49897
Lucas,49460
Mason,47671
Alexander,46151
Ethan,45176
Jacob,45070
Michael,44727
Daniel,43018
Henry,42696
Evelyn,41074
Harper,41024
Jackson,40094
Aiden,39345
Sebastian,39164
Matthew,39046
Avery,38342
Samuel,38106
Carter,37695
Joseph,37671
Abigail,37515
David,37179
Owen,36677
Wyatt,36015
John,35756
Jack,35649
Levi,35162
Dylan,35142
Luke,34011
Mateo,33918
Jayden,33871
Emily,33639
Grayson,33270
Julian,32741
Elizabeth,32727
Isaac,32667
Gabriel,32471
Ella,31638
Anthony,31562
Lincoln,30598
Camila,30208
Sofia,30148
Theodore,29541
Ryan,29013
Riley,28984
Jaxon,28817
Christopher,28773
Scarlett,28492
Andrew,28371
Joshua,28311
Mila,28069
Luna,27881
Aria,27841
Asher,27748
Madison,27520
Leo,27424
Thomas,27056
Josiah,26609
Charles,26432
Chloe,26145
Isaiah,26141
Caleb,26096
Victoria,26035
Penelope,26021
Nathan,25992
Hudson,25896
Ezra,25683
Grace,25522
Layla,25499
Christian,24496
Hunter,24076
Eleanor,23828
Cameron,23775
Aaron,23771
Eli,23488
Nora,23392
Parker,23389
Adrian,23192
Zoey,23006
Angel,22799
Landon,22504
Jonathan,22419
Lily,22260
Hannah,22142
Connor,22050
Elias,21912
Maverick,21679
Nolan,21611
Jordan,21471
Lillian,21330
Colton,21293
Ellie,21220
Jeremiah,21029
Hazel,20916
Easton,20483
Zoe,20106
Sawyer,20062
Violet,20048
Aubrey,20028
Addison,20023
Robert,19921
Stella,19857
Natalie,19727
Aurora,19628
Leah,19465
Carson,19248
Ezekiel,19069
Nicholas,18817
Greyson,18511
Santiago,18510
Ian,18503
Austin,18405
Cooper,18395
Dominic,18295
Brooklyn,18249
Jaxson,18240
Roman,18008
Paisley,17885
Gianna,17875
Lucy,17793
Miles,17754
Rowan,17710
Audrey,17709
Savannah,17671
Adam,17537
Skylar,17393
Nova,17325
Jameson,17255
Everly,17225
Bella,17155
Emilia,17139
Claire,17059
Jose,17021
Axel,16970
Xavier,16849
Leonardo,16795
Jace,16785
Genesis,16635
Evan,16576
Brayden,16514
Willow,16413
Quinn,16299
Anna,16054
Luca,16048
Everett,15950
Kayden,15883
Naomi,15695
Caroline,15693
Bryson,15674
Elena,15477
Maya,15453
Kennedy,15420
Kai,15283
Aaliyah,15199
Charlie,15190
Micah,15182
Kinsley,15162
Isla,14890
Declan,14831
Peyton,14774
Wesley,14743
Jason,14740
Madelyn,14698
Eliana,14601
River,14576
Samantha,14511
Ariana,14407
Weston,14375
Alice,14273
Allison,14270
Gabriella,14268
Ruby,14190
Sarah,14128
Silas,14011
Blake,13982
Ayden,13982
Serenity,13916
Bennett,13813
Chase,13775
Hailey,13769
Cora,13656
Damian,13571
Vincent,13566
Harrison,13562
Ivy,13534
Valentina,13518
Emmett,13515
Autumn,13479
Hayden,13392
Sadie,13302
Tyler,13271
Ryder,13271
Gavin,13192
Adeline,13189
Eva,13174
Nevaeh,13158
Zachary,13132
Bentley,12948
Nathaniel,12864
Kingston,12826
Piper,12821
Emery,12699
Cole,12642
Emerson,12621
Delilah,12404
Lydia,12315
Luis,12312
Sophie,12240
Waylon,12196
George,12160
Ashton,12158
Braxton,12100
Josephine,12000
Kevin,11896
Elliott,11849
Diego,11802
Brooks,11677
Brandon,11627
Vivian,11608
Ryker,11585
Clara,11539
Madeline,11491
Reagan,11462
Rylee,11414
Beau,11386
Julia,11383
Finley,11363
Max,11275
Gael,11273
Amir,11270
Brielle,11266
Elliot,11200
Giovanni,11189
Tristan,11177
Kaylee,11173
Carlos,11164
Maxwell,11138
Melanie,11109
Juan,10987
Ivan,10973
Natalia,10950
Arianna,10912
Kaiden,10891
Jade,10856
Taylor,10809
Maddox,10749
Justin,10716
Jonah,10697
Jayce,10654
Mackenzie,10632
Calvin,10622
Liliana,10574
Hadley,10550
Isabelle,10545
Maria,10445
Karter,10335
Leilani,10283
Jude,10248
Eden,10243
Camden,10224
Raelynn,10193
Alexa,10176
Aubree,10170
Arya,10167
Jesus,10139
Athena,10136
August,10112
Adalynn,10090
Jasper,10007
Alex,9992
King,9941
Abel,9917
Katherine,9912
Zion,9862
Malachi,9806
Emmanuel,9717
Remington,9470
Myles,9469
Phoenix,9440
Rose,9382
Brody,9376
Kylie,9337
Amari,9296
Faith,9293
Lyla,9280
Ximena,9267
Lorenzo,9265
Eric,9217
Antonio,9183
Rhett,9181
Mary,9153
Melody,9117
Eliza,9105
Milo,9086
Finn,9086
Alexandra,9034
Xander,9013
Margaret,8930
Ariel,8835
Timothy,8816
Dakota,8714
Alan,8708
Dean,8682
Alexis,8641
Legend,8631
Miguel,8604
Edward,8565
Abraham,8559
Ashley,8557
Victor,8532
Matteo,8482
Brianna,8478
Graham,8477
Iris,8427
Reese,8397
Jasmine,8360
Tucker,8358
Bailey,8321
Emiliano,8315
Zayden,8264
Joel,8229
Andrea,8196
Bryce,8189
Thiago,8175
Richard,8167
Grant,8157
Jesse,8138
Patrick,8121
Judah,8059
Dawson,8019
Khloe,8012
Messiah,7961
Morgan,7955
Nicolas,7936
Amaya,7909
Norah,7907
Adriel,7883
Isabel,7868
Adalyn,7802
Steven,7788
Everleigh,7729
Remi,7655
London,7639
Arthur,7629
Valeria,7617
Alejandro,7607
Brantley,7599
Oscar,7590
Annabelle,7554
Ryleigh,7484
Preston,7347
Kaleb,7324
Anastasia,7291
Jeremy,7291
Valerie,7289
Cecilia,7258
Barrett,7236
Archer,7226
Marcus,7206
Alyssa,7190
Eloise,7179
Esther,7146
Peter,7131
Jordyn,7099
Sage,7091
Daisy,7058
Kyrie,6991
Mark,6978
Theo,6972
Beckett,6969
Molly,6967
Juliana,6947
Amara,6937
Enzo,6933
Josie,6901
Elliana,6889
Matias,6883
Alina,6874
Zane,6869
Kayla,6863
Leon,6822
Sara,6816
Dallas,6804
Andres,6799
Aliyah,6793
Emersyn,6790
Lukas,6788
Maximus,6759
Teagan,6755
Genevieve,6753
Lucia,6728
Harmony,6662
Ayla,6661
Kimberly,6545
Londyn,6533
Callie,6512
Sydney,6489
Arabella,6482
Felix,6461
Lilly,6457
Kenneth,6448
Trinity,6444
Jax,6444
Payton,6426
Lauren,6402
Colt,6399
Kaden,6395
Paxton,6389
Knox,6345
Holden,6316
Israel,6306
Summer,6299
Harley,6275
Griffin,6247
Sienna,6245
Juliette,6233
Caden,6208
Marley,6200
Ace,6184
Alaina,6176
Paul,6174
Elise,6167
Bryan,6156
Javier,6120
Aidan,6080
Sloane,6069
Laila,6043
Presley,6040
Brian,6040
Atlas,6020
Emilio,6002
Omar,5990
Jocelyn,5975
Amy,5966
Oakley,5932
Rachel,5915
Kyle,5908
Brynlee,5904
Gracie,5895
Walker,5877
Mya,5872
Rory,5815
Blakely,5790
Brooke,5775
Bradley,5762
Josue,5757
Daniela,5756
Georgia,5736
Luka,5709
Rosalie,5704
June,5684
Alana,5635
Jaden,5633
Catalina,5626
Colin,5614
Ember,5604
Paige,5589
Simon,5565
Mckenzie,5557
Diana,5555
Nash,5549
Cayden,5529
Journee,5514
Kendall,5505
Rylan,5505
Nicole,5491
Lila,5469
Ellis,5469
Leila,5465
Jorge,5462
Gemma,5454
Catherine,5444
Ana,5441
Louis,5415
Brady,5412
Noelle,5405
Arlo,5398
Rafael,5392
Freya,5379
Ariella,5378
Adelyn,5376
Kyler,5372
Zander,5372
Vanessa,5369
Juniper,5357
Clayton,5346
Lennox,5341
Fiona,5333
Olive,5311
Hope,5275
Ada,5268
Rebecca,5255
Alayna,5242
Julianna,5237
Lane,5235
Adaline,5231
Mariah,5192
Brooklynn,5187
Maximiliano,5172
Tobias,5169
Lola,5165
Tatum,5160
Karson,5151
Beckham,5139
Joanna,5134
Aspen,5099
Selena,5097
Walter,5096
Alivia,5089
Damien,5077
Spencer,5071
Ruth,5064
Malia,5060
Angelina,5046
Remy,5025
Journey,5024
Cash,5011
Derek,5005
Erick,5005
Adriana,5000
Francisco,4992
Skyler,4985
Jake,4980
Makayla,4979
Zara,4978
Raegan,4958
Chance,4949
Angela,4944
Jayla,4939
Andre,4936
Tessa,4922
Ari,4910
Kamila,4897
Ronan,4897
Martin,4892
Camille,4875
Juliet,4869
Vera,4842
Cody,4809
Adonis,4809
Gunner,4791
Sean,4775
Elsie,4750
Alaia,4729
Mckenna,4726
Kameron,4717
Corbin,4708
Millie,4707
Evangeline,4687
Maeve,4678
Magnolia,4676
Vivienne,4666
Delaney,4665
Kali,4656
Elaina,4652
Killian,4640
Lilah,4639
Jett,4631
Michelle,4619
Reid,4601
Nyla,4592
Anderson,4590
Stephen,4583
Manuel,4571
Jane,4559
Daxton,4556
Maggie,4552
Bodhi,4545
Thea,4543
Cali,4523
Charlee,4520
Mariana,4506
Lennon,4494
Jensen,4489
Armani,4487
Lucille,4477
Kash,4469
Lena,4467
Cohen,4461
Briella,4450
Tanner,4440
Miriam,4433
Camilla,4425
Lia,4420
Alexandria,4414
Kehlani,4414
Destiny,4391
Amiyah,4387
Ali,4376
Adelaide,4370
Cristian,4356
Hayes,4339
Raymond,4339
Hendrix,4329
Zuri,4320
Izabella,4315
Aniyah,4314
Haven,4293
Annie,4290
Myla,4282
Phoebe,4280
Iker,4261
Eduardo,4254
Gideon,4249
Amira,4238
Lyric,4228
Dante,4223
Leia,4205
Jaylen,4202
Orion,4189
Titus,4169
Ricardo,4147
Prince,4129
Cruz,4124
Amina,4116
Travis,4112
Fernando,4112
Mario,4096
Giselle,4080
Atticus,4080
Brynn,4056
Daleyza,4045
Kayson,4019
Samara,4017
Angelo,3993
Kaia,3991
Sutton,3989
Melissa,3988
Jessica,3981
Kate,3981
Milan,3981
Lilliana,3980
Gabrielle,3966
Margot,3954
Gabriela,3937
Zayn,3931
Alani,3892
Kane,3874
Makenzie,3870
Adelynn,3865
Jaiden,3839
Kiara,3838
Nina,3824
Cesar,3821
Odin,3820
Leighton,3816
Garrett,3816
Edwin,3812
Hector,3812
Evie,3806
Madilyn,3802
Joaquin,3800
Devin,3797
Malakai,3792
Talia,3789
Khalil,3789
Evelynn,3782
Justice,3778
Julius,3769
Muhammad,3756
Gracelyn,3739
Donovan,3738
Royal,3736
Arielle,3733
Alessandra,3730
Major,3727
Paris,3719
Warren,3714
Malcolm,3704
Desmond,3700
Fatima,3686
Tyson,3679
Saylor,3678
Raelyn,3671
Paislee,3644
Wade,3641
Stephanie,3626
Jeffrey,3603
Caiden,3598
Jayceon,3597
Lexi,3595
Leonel,3593
Gracelynn,3585
Laura,3571
Kamryn,3557
Rylie,3557
Harlow,3546
Romeo,3532
Brinley,3531
Shiloh,3513
Sergio,3513
Noel,3497
Marshall,3494
Nico,3484
Conor,3480
Makenna,3464
Cassidy,3454
Reign,3452
Ariah,3447
Johnny,3432
Joy,3413
Winter,3406
Jaxton,3406
Marco,3405
Ismael,3398
Kinley,3395
Felicity,3393
Allie,3376
Keegan,3358
Nasir,3356
Jared,3353
Edgar,3341
Jennifer,3338
Malik,3327
Conner,3326
Maci,3314
Kade,3308
Seth,3308
Heidi,3298
Keira,3288
Camryn,3285
Emory,3265
Nehemiah,3264
Troy,3262
Veronica,3258
Jacqueline,3255
Collin,3255
Ariyah,3254
Royalty,3249
Elle,3241
Kenzie,3239
Andy,3236
Miracle,3232
Clark,3212
Kason,3205
Sullivan,3200
Willa,3198
Gwendolyn,3197
Lana,3196
Madeleine,3193
Johnathan,3186
Lawson,3185
Gage,3185
Jay,3183
Kailani,3176
Gianni,3167
Esmeralda,3162
Erik,3153
Trevor,3152
Kamari,3144
Sterling,3144
Heaven,3140
Amanda,3140
Daniella,3140
Gia,3125
Jase,3111
Milani,3101
Kira,3100
Luciana,3100
Dahlia,3094
Ainsley,3090
Ophelia,3082
Zayne,3076
Grady,3070
Kairo,3067
Russell,3065
Solomon,3062
Wren,3052
Alayah,3051
Cade,3041
Alicia,3036
Reed,3027
Winston,3027
Gregory,3026
Danielle,3023
Raiden,3022
Cyrus,3015
Demi,3012
Frank,3008
Blair,2998
Pedro,2997
Fabian,2995
Daphne,2985
Nylah,2983
Ezequiel,2979
Celeste,2959
Ibrahim,2954
Anaya,2952
Scarlet,2946
Kaitlyn,2934
Shane,2933
Dominick,2915
Kobe,2914
Princeton,2913
Harvey,2908
Alison,2906
Lilith,2898
Octavia,2894
Sabrina,2890
Miranda,2890
Haley,2890
Maddison,2889
Jamie,2886
Shawn,2883
Pablo,2880
Viviana,2879
Chandler,2869
Lainey,2868
Dalton,2867
Serena,2866
Addilyn,2860
Drew,2860
Crew,2859
Carmen,2857
Maliyah,2851
Royce,2845
Casey,2843
Helen,2833
Bianca,2832
Emanuel,2826
Braelynn,2824
Raven,2824
Kendrick,2822
Elian,2820
Regina,2819
Nadia,2813
Skye,2812
Leland,2810
Hallie,2804
Finnegan,2798
Frances,2782
Annalise,2781
Averie,2780
Porter,2777
Cairo,2758
Carolina,2754
Bowen,2750
Rosemary,2747
Tate,2746
Avianna,2745
Aylin,2745
Maisie,2741
Allen,2739
Mathias,2738
Matthias,2734
Yaretzi,2733
Cataleya,2727
Memphis,2725
Nayeli,2721
Briar,2716
Mabel,2713
Ruben,2711
Sarai,2708
Shelby,2705
Otto,2705
Selah,2703
Kyla,2700
Hugo,2696
Franklin,2693
Karsyn,2687
Kayleigh,2684
Katie,2681
Erin,2668
Jenna,2660
Kolton,2660
Damon,2645
Collins,2627
Jada,2627
Kelsey,2626
Philip,2626
Zariah,2617
Charleigh,2614
Hattie,2610
Eve,2610
Kaylani,2609
Jamison,2603
Roberto,2602
Alondra,2597
Jimena,2596
Jolene,2594
Kasen,2590
Marlee,2586
Kylee,2586
Marcos,2582
Esteban,2582
Kensley,2577
Adan,2575
Dax,2571
Emely,2562
Palmer,2560
Bristol,2558
Ronin,2555
Elianna,2554
Amora,2552
Mikayla,2550
Francesca,2548
Mckinley,2543
Zaiden,2537
Kyson,2532
Kamden,2529
Rowen,2526
Madelynn,2524
Jonas,2513
Kathryn,2511
Amber,2510
Adrianna,2505
Emelia,2501
Alaya,2492
Lorelei,2490
Hank,2484
Kian,2484
Kennedi,2482
Kalani,2479
Rhys,2472
Everlee,2471
Augustus,2471
Niko,2471
Mira,2469
Aviana,2465
Elisa,2453
Liana,2448
Sierra,2444
Matilda,2442
Moises,2439
Abby,2438
Callum,2428
Esme,2427
Christina,2427
Francis,2419
Cheyenne,2418
Oaklynn,2417
Wynter,2412
Edith,2411
Nia,2408
Abram,2402
Cadence,2401
Holly,2400
Denver,2395
Helena,2392
Bruce,2392
April,2379
Phillip,2378
Alijah,2377
Kashton,2368
Braylen,2361
Jazlyn,2360
Albert,2358
Charli,2348
Sylvia,2347
Aitana,2344
Gunnar,2335
Chelsea,2327
Maximilian,2327
Renata,2326
Zachariah,2318
Macie,2317
Luciano,2316
Dexter,2311
Mohamed,2309
Maia,2306
Celine,2300
Uriel,2298
Fernanda,2296
Landen,2291
Charley,2285
Danna,2276
Kendra,2268
Rocco,2268
Baylor,2256
Alonzo,2256
Asa,2252
Derrick,2251
Kora,2250
Enrique,2250
Corey,2247
Legacy,2246
Omari,2246
Drake,2244
Leonidas,2242
Azariah,2238
Leona,2233
Katelyn,2230
Leslie,2230
Wilder,2226
Carly,2216
Jayleen,2216
Imani,2215
Frederick,2213
Benson,2208
Maryam,2207
Colette,2199
Moses,2197
Malaysia,2189
Alejandra,2181
Pierce,2179
Myra,2178
Adelina,2176
Azalea,2165
Bethany,2157
Armando,2154
Emmy,2152
Jayson,2152
Deacon,2149
Apollo,2143
Maren,2141
Monroe,2137
Stevie,2137
Finnley,2136
Aisha,2132
Colson,2130
Virginia,2126
Madilynn,2123
Ronald,2123
Kieran,2123
Quincy,2121
Jaime,2115
Henley,2110
Poppy,2105
Meadow,2102
Briana,2099
Aleah,2099
Isaias,2098
Meredith,2096
Nikolai,2096
Lorelai,2094
Santino,2089
Itzel,2086
Arjun,2086
Hanna,2081
Jessie,2080
Davis,2078
Ashlyn,2073
Moshe,2071
Kaydence,2063
Ayaan,2061
Kaison,2060
Lawrence,2052
Antonella,2048
Trenton,2044
Kara,2043
Alessia,2042
Emberly,2040
Forrest,2040
Mallory,2039
Emmalyn,2038
Alexia,2037
Ryland,2029
Alanna,2028
Emmitt,2027
Reece,2026
Dream,2025
Kaliyah,2024
Beatrice,2023
Dorian,2022
Landyn,2020
Julio,2015
Raphael,2004
Oaklyn,2003
Brycen,2001
Danny,2000
Scott,2000
Megan,1993
Izaiah,1991
Saul,1990
Rodrigo,1984
Noa,1982
Angelica,1981
Cecelia,1980
Raul,1980
Dorothy,1979
Dayana,1978
Allyson,1977
Jemma,1973
Macy,1972
Jaliyah,1967
Braylon,1965
Rosie,1964
Cannon,1964
Astrid,1962
Ivanna,1959
Mariam,1959
Ashlynn,1955
Gloria,1954
Darius,1953
Priscilla,1950
Lewis,1950
Michaela,1949
Sasha,1949
Elaine,1945
Johanna,1943
Braelyn,1942
Janelle,1942
Frankie,1941
Keith,1941
Mae,1937
Avah,1935
Cassius,1935
Briggs,1935
Gerardo,1935
Donald,1934
Skyla,1930
Alec,1927
Nixon,1926
Roland,1913
Karina,1912
Jayda,1911
Conrad,1909
Landry,1906
Sloan,1900
Melany,1894
Callan,1892
Callen,1888
Julie,1886
Quentin,1885
Julieta,1884
Stetson,1880
Ariya,1879
Anne,1877
Roy,1877
Case,1876
Jazmin,1870
