name,frequency
Mary,249004
Robert,243118
James,210589
John,202877
William,181411
Betty,145822
Richard,125803
Charles,123557
Donald,115571
Dorothy,113747
George,87537
Barbara,82559
Joseph,80377
Helen,75010
Margaret,71559
Joan,67443
Thomas,67202
Edward,65621
Patricia,63874
Shirley,59089
Doris,58762
Ruth,56393
Paul,49857
Virginia,49107
Frank,48670
David,47574
Jack,46909
Jean,46397
Kenneth,45926
Dolores,44893
Raymond,44869
Harold,44519
Elizabeth,42589
Frances,41203
Joyce,40297
Lois,39408
Walter,37339
Willie,37225
Nancy,36924
Billy,36737
Alice,36361
Marilyn,36259
Evelyn,35875
Mildred,35414
Anna,35221
Eugene,34344
Norma,33575
Henry,32629
Marie,32069
Gloria,31526
Arthur,31285
Martha,30534
Phyllis,30277
Albert,30030
Ralph,29028
Rose,28842
Ronald,27983
Joe,27368
Carl,27161
Beverly,26817
Gerald,26621
Harry,25757
Louise,25404
Marjorie,25093
Donna,25021
Irene,24321
Catherine,23653
Howard,23258
Fred,23122
Ruby,23020
Ann,22732
Herbert,22687
Roy,22470
Louis,22414
Bobby,22366
Annie,22176
Eleanor,21773
Florence,21628
Lawrence,21592
Geraldine,21525
Marion,21524
Earl,21214
Clarence,21189
Norman,21157
Carol,21019
Francis,20907
Lillian,20302
June,20115
Thelma,19432
Lorraine,19285
Rita,19077
Gladys,18908
Josephine,18889
Edna,18418
Janet,18367
Peggy,18344
Ernest,18006
Anthony,17920
Leonard,17861
Jane,17800
Pauline,17767
Jerry,17741
Theresa,17670
Daniel,17636
Wanda,17512
Alfred,17322
Marvin,17299
Billie,17235
Juanita,17037
Stanley,16613
Bernice,16510
Lucille,16313
Audrey,16127
Edith,16056
Grace,16028
Ethel,15988
Delores,15777
Clara,15706
Melvin,15609
Carolyn,15563
Wilma,15382
Hazel,14978
Elaine,14954
Sarah,14931
Leroy,14922
Bernard,14378
Michael,14037
Emma,13960
Samuel,13820
Charlotte,13692
Bonnie,13541
Roger,13522
Jessie,13254
Joanne,13103
Ray,12944
Esther,12925
Peter,12665
Bill,12623
Beatrice,12561
Jacqueline,12361
Marian,12333
Wayne,12293
Russell,12211
Don,12009
Anne,11898
Dale,11857
Kathleen,11719
Gene,11588
Vivian,11543
Elsie,11532
Floyd,11496
Andrew,11472
Patsy,11465
Rosemary,11386
Laura,11242
Leo,11241
Katherine,11240
Theodore,11180
Arlene,11167
Edwin,11121
Eva,11115
Julia,11082
Lloyd,11048
Jimmie,10941
Lee,10598
Philip,10505
Frederick,10415
Johnnie,10344
Maxine,10256
Vernon,10254
Bertha,10201
Sally,10200
Glenn,10191
Jeanne,10171
Clifford,10104
Ida,10010
Clyde,9961
Gordon,9887
Ellen,9872
Bobbie,9851
Loretta,9711
Agnes,9666
Herman,9613
Alvin,9587
Elmer,9468
Joann,9393
Kathryn,9354
Gertrude,9282
Maria,9256
Leon,9252
Ella,9233
Vera,9174
Eileen,9161
Allen,9161
Margie,9141
Eddie,9039
Lillie,9025
Bob,9014
Martin,8948
Alma,8894
Bessie,8887
Charlie,8863
Jeanette,8755
Vincent,8741
Lewis,8710
Douglas,8597
Janice,8501
Sylvia,8333
Anita,8293
Nellie,8290
Georgia,8260
Gilbert,8105
Harvey,8079
Roberta,8057
Viola,7904
Larry,7897
Jo,7887
Jimmy,7853
Lester,7809
Lucy,7800
Jesse,7743
Violet,7707
Warren,7636
Christine,7634
Milton,7587
Pearl,7581
Arnold,7534
Mattie,7496
Minnie,7451
Myrtle,7433
Cecil,7288
Constance,7259
Leona,7250
Velma,7230
Rosa,7050
Johnny,7041
Chester,7016
Bruce,7016
Curtis,6993
Victor,6959
Sara,6859
Geneva,6841
Jerome,6756
Roland,6711
Darlene,6562
Jackie,6407
Claire,6370
Wallace,6343
Benjamin,6314
Mae,6241
Sam,6234
Calvin,6120
Marlene,6108
Duane,6047
Patrick,6024
Jim,6013
Harriet,6010
Glen,5993
Naomi,5985
Stella,5949
Jose,5916
Franklin,5895
Maurice,5843
Dora,5785
Willard,5696
Tommy,5676
Manuel,5644
Eunice,5626
Edgar,5623
Alberta,5574
Ramona,5563
Carrie,5553
Lena,5541
Laverne,5535
Genevieve,5514
Claude,5485
Tom,5445
Dean,5427
Oscar,5425
Virgil,5255
Stephen,5228
Keith,5184
Jennie,5153
Hugh,5129
Rosie,5109
Alan,5054
Leslie,5029
Everett,5022
Emily,5016
Verna,5009
Mabel,4961
Joy,4931
Lula,4912
Yvonne,4882
Hubert,4875
Lola,4872
Cora,4871
Junior,4861
Muriel,4857
Opal,4845
Rachel,4798
Sue,4795
Max,4778
Marguerite,4765
Hilda,4738
Dennis,4711
Erma,4686
Carmen,4644
Pat,4638
Phillip,4618
Fannie,4582
Wesley,4546
Wilbur,4525
Faye,4518
Hattie,4493
Caroline,4468
Inez,4447
Beulah,4423
Homer,4414
Rudolph,4387
Rebecca,4346
Bennie,4330
Rosalie,4263
Blanche,4196
Nicholas,4178
Lila,4168
Daisy,4094
Madeline,4019
Luther,4012
Flora,4003
Ada,3987
Mamie,3980
Susan,3979
Judith,3973
Freddie,3962
Irma,3957
Bettie,3951
Sidney,3946
Imogene,3939
Charlene,3931
Connie,3930
Morris,3924
Jeannette,3877
Marcella,3869
Nina,3828
Delbert,3818
Allan,3806
Ted,3800
Nora,3782
Ben,3760
Willis,3744
Miriam,3738
Lyle,3738
Eloise,3725
Mable,3712
Dick,3687
Eula,3667
Teresa,3665
Earnest,3663
Diane,3633
Horace,3631
Ernestine,3566
Gwendolyn,3564
Iris,3551
Rosemarie,3473
Lowell,3449
Gary,3448
Jay,3424
Antoinette,3423
Dan,3410
Colleen,3397
Susie,3394
Della,3369
Deloris,3333
Tony,3323
Alexander,3293
Salvatore,3278
Ollie,3250
Darrell,3245
Merle,3216
Neil,3203
Clayton,3195
Estelle,3194
Melba,3177
Steve,3177
Oliver,3132
Lorene,3097
Guy,3086
Tommie,3077
Juan,3069
Carroll,3061
Maggie,3044
Otis,3042
Regina,3040
Priscilla,3037
Bette,3018
Lonnie,2992
Julius,2978
Patty,2964
Sadie,2910
Frankie,2909
Katie,2887
Suzanne,2860
Nathaniel,2860
Marcia,2859
Edmund,2853
Archie,2849
Alex,2833
Clifton,2815
Annette,2812
Jesus,2783
Olga,2770
Clinton,2755
Bettye,2752
Carole,2752
Orville,2747
Alton,2719
Victoria,2709
Angelina,2701
Leland,2688
Janie,2684
Ira,2674
Jewel,2647
Angelo,2639
Winifred,2629
Cleo,2628
Wilbert,2628
Rodney,2615
Henrietta,2608
Lydia,2586
Marshall,2578
Matthew,2573
Ramon,2558
Nadine,2548
Mike,2546
Jeannine,2529
Myron,2528
Reba,2520
Antonio,2520
Wendell,2514
Fay,2493
Essie,2482
Ivan,2477
Ina,2424
Mark,2424
Marianne,2421
Karl,2416
Ora,2413
Amelia,2405
Jacquelyn,2400
Guadalupe,2382
Freda,2371
Nettie,2367
Angela,2346
Nelson,2339
Dewey,2315
Doyle,2299
Paula,2297
Irving,2296
Ervin,2291
Dorthy,2271
Maureen,2268
Jacob,2258
Fern,2243
Natalie,2236
Roosevelt,2230
Isabel,2221
Cynthia,2213
Veronica,2211
Irvin,2206
Luella,2202
Elbert,2171
Iva,2164
Sylvester,2160
Malcolm,2154
Linda,2151
Lela,2147
Pete,2138
Eldon,2135
Gerard,2135
Sallie,2133
Lynn,2131
Wilfred,2117
Julian,2112
Benny,2093
Jewell,2087
Johnie,2087
Dwight,2080
Lottie,2078
Perry,2077
Carlos,2072
Olive,2065
Diana,2062
Loren,2053
Mona,2047
Etta,2039
Sharon,2008
Laurence,2007
Rex,2007
Rufus,2000
Nick,1997
Dorothea,1994
Norbert,1991
Dixie,1990
Troy,1974
Forrest,1970
Therese,1963
Adeline,1960
Glenna,1952
Isaac,1942
Clarice,1937
Leola,1932
Lupe,1925
Ola,1919
Myra,1901
Adele,1899
Mack,1896
Fredrick,1896
Mavis,1891
Angeline,1890
Bert,1884
Conrad,1882
Addie,1879
May,1878
Carlton,1873
Grady,1855
Willa,1841
Nathan,1839
Lou,1838
Bernadine,1834
Byron,1831
Burton,1831
Loyd,1830
Joel,1828
Kay,1822
Maryann,1821
Nell,1820
Owen,1809
Ruben,1801
Cecelia,1799
Cecilia,1797
Lenora,1794
Ellis,1788
Celia,1780
Aaron,1778
Felix,1773
Sophie,1747
Lizzie,1736
Elva,1732
Goldie,1730
Gracie,1715
Helene,1712
Estella,1708
Sherman,1707
Francisco,1697
Effie,1694
Ila,1688
Elinor,1688
Emil,1686
Sammie,1685
Selma,1672
Irwin,1644
Rhoda,1641
Ross,1637
Sandra,1618
Sheila,1615
Carmela,1611
Lucile,1608
Percy,1601
Buddy,1598
Elvira,1596
Alta,1589
Pedro,1587
Harley,1580
Dominick,1579
Boyd,1577
Myrna,1576
Annabelle,1562
Earline,1559
Nelda,1555
Mario,1539
Teddy,1516
Rosetta,1514
August,1504
Grover,1503
Judy,1500
Dallas,1500
Otto,1484
Aubrey,1479
Elwood,1479
Raul,1476
Reginald,1476
Olivia,1475
Emmett,1475
Harlan,1474
Isabelle,1469
Stuart,1466
Corinne,1465
Dona,1461
Sheldon,1460
Rudy,1458
Amos,1448
Lenore,1437
Terry,1412
Seymour,1400
Garland,1399
Lavonne,1394
Elnora,1392
Polly,1378
Morton,1377
Ruthie,1375
Wilson,1356
Murray,1354
Dolly,1351
Dominic,1351
Louie,1346
Robbie,1345
Virgie,1338
Neal,1325
Danny,1313
Cornelius,1312
Dave,1311
Nannie,1293
Rena,1290
Odell,1289
Neva,1277
Pearlie,1270
Roberto,1270
Arline,1268
Eleanore,1267
Amy,1264
Preston,1262
Alfonso,1244
Josie,1241
Lorna,1236
Earnestine,1235
Sammy,1235
Eugenia,1231
Luis,1229
Austin,1228
Maynard,1228
Greta,1219
Flossie,1214
Gail,1214
Merlin,1206
Elma,1205
Betsy,1204
Carmella,1200
Renee,1195
Erwin,1193
Consuelo,1189
Dollie,1172
Claudia,1169
Lavern,1169
Beverley,1166
Delmar,1158
Mollie,1157
Zelma,1154
Margery,1151
Wilda,1140
Yolanda,1137
Winnie,1127
Concetta,1127
Margarita,1121
Joanna,1118
Bernadette,1110
Timothy,1105
Edmond,1102
Rosella,1100
Roscoe,1089
Aileen,1084
Nola,1084
Abraham,1083
Molly,1082
Aurora,1075
Cornelia,1068
Lora,1067
Wade,1066
Marlin,1061
Loraine,1051
Harriett,1049
Elvin,1039
Donnie,1035
Moses,1035
