name,frequency
James,694347
Robert,672828
John,643016
Linda,603321
Mary,531645
William,487938
David,455343
Michael,452059
Richard,429718
Patricia,383757
Thomas,347428
Barbara,343859
Charles,308280
Susan,272898
Gary,246439
Ronald,242433
Larry,241998
Sandra,235641
Nancy,232710
Carol,229632
Donald,213500
Joseph,209682
Sharon,201078
Kenneth,187489
Karen,182567
Kathleen,182545
Dennis,175371
Paul,172694
Donna,172231
George,168778
Deborah,161170
Edward,151334
Steven,147960
Margaret,145205
Judith,144284
Brenda,139945
Stephen,139417
Carolyn,139018
Diane,138279
Daniel,136288
Judy,134084
Jerry,131354
Shirley,127872
Betty,127256
Janet,121617
Janice,114789
Joyce,113059
Pamela,113005
Terry,108685
Elizabeth,107948
Mark,104137
Roger,98496
Frank,96602
Cynthia,96311
Cheryl,94794
Gloria,91413
Raymond,90086
Bruce,89172
Dorothy,86886
Douglas,86261
Christine,85380
Beverly,82684
Gregory,80779
Marilyn,80169
Joan,79918
Martha,78117
Gerald,77587
Lawrence,76022
Bonnie,76011
Virginia,72518
Willie,72184
Jane,71263
Wayne,71000
Timothy,70241
Catherine,67950
Peggy,67031
Anthony,66465
Walter,66140
Peter,65819
Ann,64899
Connie,63946
Jean,63831
Rebecca,62635
Helen,62613
Harold,62100
Ruth,61717
Gail,61267
Frances,60635
Danny,60019
Carl,60015
Arthur,59487
Kathy,59080
Jack,58683
Diana,58678
Phyllis,58561
Alan,58487
Henry,57450
Patrick,57158
Joe,54893
Jeffrey,54830
Debra,54732
Dale,54709
Roy,53834
Alice,53789
Johnny,53705
Kathryn,53240
Ralph,52804
Jimmy,51199
Paula,50270
Elaine,50094
Lynn,49935
Billy,48705
Wanda,48675
Jo,47329
Albert,47279
Jacqueline,47244
Rita,47241
Philip,46135
Harry,45333
Eugene,44568
Rose,44427
Katherine,43699
Doris,43698
Joanne,43593
Ellen,43407
Bobby,43318
Marie,43242
Stanley,43112
Howard,42798
Laura,42773
Suzanne,41978
Ronnie,41655
Sherry,41402
Louis,40740
Theresa,40713
Samuel,40237
Sheila,40198
Lois,39940
Fred,39766
Russell,39366
Glenn,39130
Sally,38893
Charlotte,38757
Darlene,38302
Barry,37946
Maria,37884
Vicki,37834
Steve,37471
Allen,37306
Leonard,37234
Leslie,36849
Phillip,36776
Evelyn,36506
Marcia,36343
Frederick,36144
Marsha,35858
Andrew,35767
Ernest,34845
Anne,34420
Lee,34300
Francis,34114
Keith,33703
Sue,33093
Teresa,32682
Craig,32640
Dianne,32391
Eddie,32308
Sarah,32303
Denise,32249
Geraldine,32060
Randy,31785
Anna,31146
Roberta,31008
Eileen,30963
Martin,30956
Melvin,30938
Constance,30928
Cathy,30914
Norman,30777
Tommy,30678
Glenda,30599
Brian,30415
Maureen,30288
Jeanne,30228
Sylvia,30192
Earl,29865
Mike,29820
Randall,29805
Anita,29633
Rosemary,29574
Norma,29356
Joann,29247
Lorraine,28951
Christopher,28864
Rodney,28855
Victoria,28853
Marvin,28573
Louise,27814
Kevin,27686
Patsy,27566
Clarence,27508
Lynda,27412
Annie,27328
Charlene,26326
Jackie,26099
Don,26009
Scott,25868
Alfred,25484
Irene,25482
Curtis,25358
Carole,25325
Bill,24601
Leroy,24287
Jim,24054
Kay,23957
Juanita,23687
Marlene,23632
Yvonne,23631
Julie,23320
Theodore,23148
Ray,23099
Clifford,23072
Marjorie,23015
Julia,21944
Loretta,21925
Vincent,21908
Herbert,21841
Ruby,21477
Bernard,21460
Eric,21426
