name,year,total
George,2011,2306
George,2010,2352
George,2009,2367
George,2008,2543
George,2007,2752
George,2006,2694
George,2005,2811
George,2004,2733
George,2003,2906
George,2002,3009
George,2001,3080
George,2000,3027
George,1999,3030
Ronald,1991,3665
Ronald,1990,3884
Ronald,1989,4103
Ronald,1988,4172
Ronald,1987,4156
Ronald,1986,4235
Ronald,1985,4301
Ronald,1984,4515
Ronald,1983,4702
Ronald,1982,5205
Ronald,1981,5549
Ronald,1980,5765
Ronald,1979,5707
Richard,1976,16832
Richard,1975,17770
Richard,1974,18676
Richard,1973,20024
Richard,1972,22395
Richard,1971,26230
Richard,1970,30548
Richard,1969,31199
Richard,1968,33091
Richard,1967,33687
John,1965,71737
John,1964,82758
John,1963,78854
John,1962,78653
John,1961,80173
John,1960,76253
John,1959,76577
Franklin,1947,1756
Franklin,1946,1697
Franklin,1945,1874
Franklin,1944,1799
Franklin,1943,1961
Franklin,1942,2348
Franklin,1941,2189
Franklin,1940,2377
Franklin,1939,1829
Franklin,1938,1996
Franklin,1937,2506
Franklin,1936,2934
Franklin,1935,2602
Herbert,1935,3431
Herbert,1934,3595
Franklin,1934,4147
Franklin,1933,5358
Herbert,1933,3683
Herbert,1932,4357
Franklin,1932,2752
Herbert,1931,4781
Franklin,1931,1056
Herbert,1930,5666
Herbert,1929,7883
Herbert,1928,8075
Herbert,1927,5014
Woodrow,1925,345
Woodrow,1924,469
Woodrow,1923,443
Woodrow,1922,589
Woodrow,1921,639
Woodrow,1920,733
Woodrow,1919,1792
