name,frequency
Mary,146453
John,115985
Robert,106969
William,103230
James,99956
Dorothy,76850
Helen,67362
Charles,58354
Margaret,55347
George,55135
Joseph,52014
Ruth,49462
Edward,41309
Betty,38532
Virginia,38196
Mildred,34297
Richard,33971
Frank,32784
Frances,31128
Elizabeth,31061
Thomas,30615
Donald,28734
Anna,27904
Evelyn,27588
Harold,27460
Doris,27010
Paul,26134
Walter,25687
Raymond,24779
Marie,24414
Alice,23228
Henry,22679
Jack,21624
Marjorie,21589
Willie,20907
Irene,20790
Florence,20745
Arthur,20655
Albert,20065
Lillian,19197
Harry,18824
Martha,18272
Kenneth,18224
Jean,18180
Rose,18144
Louise,18084
Catherine,17416
Ralph,17347
Gladys,16849
Ruby,16391
Josephine,15996
Edna,15921
Eleanor,15898
David,15644
Eugene,15576
Thelma,15095
Howard,15004
Ethel,14854
Lucille,14835
Marion,14768
Edith,14715
Annie,14688
Louis,14364
Hazel,14182
Clarence,14182
Grace,13962
Pauline,13947
Lois,13904
Carl,13772
Francis,13648
Earl,13206
Roy,13022
Fred,12745
Joe,12489
Shirley,12446
Bernice,12282
Barbara,12280
Warren,12272
Lawrence,11763
Beatrice,11437
Esther,11396
Ernest,11197
Leonard,11048
Clara,10730
June,10609
Gertrude,10430
Norma,10333
Anthony,10303
Stanley,10266
Herbert,10257
Rita,10122
Ann,10111
Emma,10083
Sarah,9988
Jane,9982
Katherine,9978
Alfred,9757
Phyllis,9508
Elsie,9493
Jessie,9420
Juanita,9401
Julia,9345
Samuel,9343
Agnes,9272
Lorraine,9188
Geraldine,9159
Bertha,9017
Norman,8994
Bernard,8869
Eva,8514
Daniel,8361
Michael,8172
Ida,8124
Pearl,8102
Marian,8010
Kathryn,7982
Leo,7968
Anne,7959
Viola,7936
Elmer,7912
Russell,7895
Laura,7892
Vivian,7864
Andrew,7802
Melvin,7783
Edwin,7570
Myrtle,7421
Leroy,7392
Wilma,7339
Patricia,7258
Gloria,7210
Charlotte,7162
Vera,7129
Bessie,7114
Peter,7071
Marvin,7049
Maxine,7046
Gerald,6905
Lloyd,6889
Kathleen,6863
Alma,6822
Nancy,6811
Nellie,6772
Frederick,6713
Chester,6664
Violet,6655
Audrey,6632
Stella,6482
Floyd,6470
Clifford,6449
Theodore,6377
Ella,6364
Lillie,6274
Ray,6262
Sylvia,6236
Mabel,6218
Herman,6196
Clyde,6134
Genevieve,6110
Lucy,6096
Vernon,6092
Minnie,6073
Lester,6010
Leona,6008
Ellen,6007
Eileen,5759
Elaine,5701
Wanda,5682
Lee,5574
Jennie,5545
Marguerite,5538
Margie,5524
Jeanne,5486
Charlie,5461
Vincent,5452
Philip,5451
Mattie,5396
Lena,5309
Opal,5273
Dolores,5265
Alvin,5260
Lewis,5258
Theresa,5132
Milton,5126
Leon,5122
Cecil,5010
Johnnie,4987
Mae,4978
Velma,4955
Gordon,4889
Geneva,4888
Wayne,4874
Jesse,4864
Martin,4849
Glenn,4844
Blanche,4788
Benjamin,4775
Victor,4707
Sam,4691
Georgia,4650
Muriel,4625
Harriet,4600
Christine,4532
Sara,4528
Harvey,4476
Eunice,4416
Beulah,4370
Emily,4301
Wallace,4286
Loretta,4197
Rosemary,4159
Carrie,4127
Janet,4107
Willard,4082
Jeanette,4077
Inez,4073
Hilda,4066
Rosa,4039
Dale,3971
Oscar,3965
Edgar,3916
Maria,3913
Joyce,3848
Arnold,3842
Naomi,3815
Dora,3811
Allen,3803
Joan,3757
Eddie,3719
Alberta,3714
Everett,3694
Arlene,3692
Billy,3686
Fannie,3680
Anita,3649
Claude,3645
Roger,3626
Virgil,3571
Cora,3554
Stephen,3546
Madeline,3533
Hattie,3493
Lula,3473
Maurice,3468
Verna,3466
Bonnie,3461
Wilbur,3440
Carolyn,3433
Gilbert,3431
Ada,3414
Roberta,3372
Sophie,3367
Miriam,3334
Constance,3314
Leslie,3304
Mamie,3254
Morris,3254
Billie,3250
Homer,3232
Sidney,3196
Douglas,3171
Roland,3149
Mable,3134
Bill,3121
Rachel,3110
Laverne,3066
Olga,3038
Max,3036
Flora,3025
Hubert,3019
Carol,3006
Marcella,2988
Curtis,2985
Lola,2982
Manuel,2967
Daisy,2957
Jimmie,2893
Erma,2888
Hugh,2883
Nicholas,2864
Olive,2860
Luther,2858
Glen,2853
Alexander,2847
Winifred,2834
Jerome,2782
Bette,2727
Estelle,2722
Irving,2713
Caroline,2657
Franklin,2649
Rosie,2632
Beverly,2607
Wesley,2586
Susie,2574
Maggie,2551
Eloise,2547
Julius,2544
Eula,2531
Claire,2531
Cleo,2523
Rebecca,2522
Nora,2520
Calvin,2520
Irma,2509
Steve,2502
Lorene,2494
Horace,2494
Fern,2467
Jerry,2466
Sadie,2456
Jose,2430
Antoinette,2429
Willis,2426
Donna,2396
Oliver,2368
Merle,2363
Peggy,2344
Victoria,2342
Marilyn,2335
Lucile,2322
Henrietta,2308
Don,2308
Tony,2301
Nina,2299
Della,2280
Adeline,2269
Ollie,2249
Lottie,2239
Gene,2218
Guy,2202
Ben,2198
Regina,2197
Earnest,2162
Tom,2136
Bruce,2132
Rosalie,2121
Orville,2120
Rudolph,2072
Jacob,2071
Jeannette,2063
Edmund,2048
Essie,2031
Lydia,2031
Carmen,2029
Veronica,2011
Angelina,2006
Lyle,1989
Ronald,1986
Amelia,1974
Alex,1973
Patrick,1968
Bennie,1964
Nettie,1959
Mike,1954
Katie,1952
Archie,1951
Dorothea,1940
Angelo,1928
Otis,1924
Keith,1919
Salvatore,1913
Clayton,1897
Faye,1873
Delbert,1870
Matthew,1847
Angeline,1845
Isabel,1842
Junior,1839
Goldie,1831
Jewell,1827
Freda,1827
Ora,1819
Dean,1814
Sally,1800
May,1789
Phillip,1787
Melba,1774
Clifton,1764
Lila,1762
Ernestine,1759
Wilbert,1759
Jacqueline,1750
Jewel,1748
Jim,1742
Clinton,1742
Ira,1734
Lela,1724
Adele,1715
Luella,1714
Imogene,1696
Johnny,1680
Marshall,1674
Annette,1665
Delores,1645
Bettie,1634
Addie,1631
Ervin,1597
Leland,1591
Isabelle,1587
Effie,1581
Emil,1573
Susan,1569
Jay,1568
Gwendolyn,1551
Bob,1547
Ivan,1525
Johnie,1524
Leola,1518
Forrest,1514
Cecelia,1498
Dan,1498
Nathaniel,1496
Yvonne,1486
Julian,1477
Sallie,1476
Iva,1475
Nick,1473
Irvin,1451
Nathan,1440
Reba,1431
Priscilla,1426
Eleanore,1425
Janice,1423
Sylvester,1420
Dewey,1415
Elbert,1411
Lonnie,1409
Cecilia,1398
Ola,1397
Etta,1394
Wilfred,1393
Rufus,1377
Ina,1376
Alta,1375
Seymour,1366
Elva,1360
Antonio,1351
Alton,1350
Lowell,1343
Selma,1341
Dennis,1341
Janie,1338
Teresa,1338
Aaron,1336
Nell,1331
Iris,1323
Natalie,1313
Lizzie,1309
Tommie,1297
Celia,1297
Nelson,1291
Owen,1290
Isaac,1286
Sue,1274
Fay,1271
Felix,1267
Pete,1251
Grover,1248
Ellis,1246
Angela,1236
Freddie,1235
Mark,1234
Woodrow,1228
Lenora,1226
Carroll,1224
Bert,1222
Otto,1216
Nadine,1202
Abraham,1193
Estella,1183
Amy,1182
Ted,1165
Ila,1164
Grady,1159
Rex,1157
Matilda,1156
Elma,1153
Murray,1151
Helene,1150
Elwood,1149
Annabelle,1148
Nannie,1147
Eldon,1144
Norbert,1140
Elnora,1135
Laurence,1135
Arline,1133
Percy,1133
Emmett,1129
Wendell,1126
Juan,1126
Frieda,1123
August,1122
Loyd,1114
Duane,1113
Connie,1106
Myron,1103
Wilson,1101
Perry,1101
Byron,1101
Mack,1094
Clarice,1085
Allan,1084
Malcolm,1078
Carmela,1076
Dominick,1076
Jesus,1069
Elinor,1067
Elvira,1063
Guadalupe,1061
Eugenia,1050
Fredrick,1049
Maude,1043
Patsy,1037
Virgie,1030
Amos,1030
Ross,1027
Mavis,1021
Mollie,1014
Bernadine,1013
Karl,1010
Gerard,1007
Gracie,1000
Adolph,1000
Harriett,996
Margery,996
Harley,996
Dominic,994
Roscoe,991
Rena,983
Carmella,983
Adam,974
Troy,973
Loren,963
Flossie,960
Odell,958
Sherman,958
Olivia,948
Frankie,944
Dorthy,941
Edythe,937
Myra,932
Erwin,907
Sybil,906
Leah,906
Larry,893
Neil,892
Burton,892
Boyd,891
Millie,886
Mario,885
Aubrey,878
Millard,874
Bobbie,872
Cornelia,868
Neva,865
Carlton,860
Dwight,857
Zelma,856
Tommy,852
Doyle,848
Alyce,847
Louie,847
Odessa,844
Concetta,844
Garland,843
Allie,839
Morton,836
Aileen,832
Cornelius,831
Winnie,827
Preston,827
Josie,822
Austin,821
Hannah,818
Joy,815
Dollie,809
Rosetta,808
Cecile,805
Marcia,798
Charley,797
Rhoda,794
Sophia,793
Letha,772
Willa,770
Reuben,767
Loraine,758
Rosella,758
Lily,757
Alan,757
Lenore,755
Carlos,753
Grant,745
Claudia,743
Madge,742
Yolanda,741
Adelaide,740
Mitchell,740
Berniece,739
Darlene,737
Lynn,735
Lupe,732
Jasper,732
Wilmer,727
Trinidad,720
Edmond,720
Harlan,717
Avis,716
Lorena,715
Corinne,702
Roosevelt,702
Simon,701
Maynard,698
Rocco,697
Moses,692
Will,689
Steven,689
Jimmy,682
Dallas,681
Alva,677
Florine,676
Rodney,675
Darrell,673
Joel,672
Elton,670
Neal,664
Linda,663
Wade,663
Ruben,662
Christina,659
Monroe,659
Judith,658
Aline,655
Amanda,654
Francisco,651
Pearlie,650
Callie,649
Ophelia,649
Helena,648
Ramona,647
Harrison,646
Hope,644
Eliza,639
Deloris,639
Sammie,638
Lavern,635
Bernadette,634
Dick,631
Thurman,630
Wilda,629
Corine,623
Cleveland,623
Lessie,620
Earline,620
Dolly,620
Bobby,620
Lora,618
Emanuel,618
Hester,615
Suzanne,615
Jake,615
Merlin,613
Elmo,613
Russel,612
Elvin,608
Solomon,603
Nola,601
Pedro,600
Leila,599
Iona,595
Irwin,595
Lou,593
Stuart,592
Clark,591
Gussie,588
Buford,588
Reva,584
Ramon,579
Vito,579
Clair,578
Charlene,577
Maudie,573
Marcus,572
Delmar,568
Dave,567
Kermit,566
Bertie,564
Dixie,564
Lilly,564
Alonzo,562
Glenna,561
Gus,560
Ione,547
Conrad,547
Leota,545
Madelyn,543
Aurora,542
Alfonso,542
Gail,538
Cyril,538
Armand,538
Beth,537
Elijah,536
Tillie,535
Antonia,532
Philomena,532
Andy,526
Robbie,524
Johanna,522
Wiley,522
Lelia,517
Iola,517
Katharine,516
Clement,516
Ward,513
Christopher,511
Jess,509
Marjory,508
Paula,508
Ned,507
Dessie,504
Polly,503
Mona,502
Wilburn,502
Weldon,502
Claud,501
Bruno,501
Benny,499
Lionel,498
Molly,497
Ed,497
Kay,496
Clare,494
Emery,491
Alphonse,491
Stephanie,488
Cynthia,485
Marietta,484
Vern,482
Consuelo,480
Forest,479
Roxie,478
Althea,478
Adrian,477
Augusta,476
Earle,475
Dortha,474
Barney,474
Orval,470
Margarita,469
Luis,469
Jo,467
Randolph,467
Pasquale,466
Wilford,465
Hollis,464
Reginald,462
Tessie,461
Eli,461
Norris,461
Sterling,461
Thaddeus,461
Mercedes,460
Stewart,457
Merrill,456
Travis,455
Ruthie,453
Winston,452
Maurine,451
Emory,451
Nona,449
Dorris,449
Kate,447
Jannie,445
Levi,445
Zella,444
Birdie,443
Timothy,443
Lorine,441
Georgie,440
Lorna,439
Oma,438
Miles,438
Sanford,437
Noah,434
