name,frequency
Mary,161892
John,117062
William,92479
James,84072
Helen,80571
Margaret,62329
Dorothy,62306
Robert,61900
Joseph,57114
George,55368
Ruth,54947
Charles,51771
Anna,43345
Mildred,42292
Elizabeth,41485
Edward,37315
Frank,37243
Frances,33513
Marie,32597
Alice,30893
Evelyn,28626
Florence,28602
Thomas,28169
Willie,27792
Lillian,27410
Walter,27306
Rose,27148
Henry,26217
Ethel,24914
Edna,24569
Virginia,24531
Louise,24506
Gladys,24376
Catherine,23278
Harold,23141
Irene,22930
Paul,22869
Albert,21616
Ruby,21217
Harry,21147
Grace,21087
Arthur,21025
Josephine,20486
Hazel,20457
Thelma,20360
Raymond,20281
Annie,19816
Martha,19705
Richard,19621
Edith,18809
Gertrude,18622
Lucille,18547
Esther,17334
Louis,16718
Clara,16666
Eleanor,16220
Emma,15972
Beatrice,15965
Clarence,15961
Pauline,15950
Bertha,15689
Ralph,15316
Marion,15187
Carl,14813
Fred,14516
Agnes,14311
Elsie,14111
Howard,14077
Sarah,14068
Jack,14052
Julia,14014
Jessie,13632
Bessie,13621
Donald,13479
Doris,13446
Ida,13380
Ann,13200
David,13158
Eva,13121
Francis,13063
Bernice,13023
Mabel,12828
Pearl,12787
Viola,12726
Myrtle,12609
Katherine,12556
Marjorie,12170
Roy,12112
Joe,12078
Earl,11827
Kenneth,11736
Nellie,11689
Ernest,11603
Samuel,11576
Laura,11496
Anne,11323
Lawrence,11189
Minnie,11123
Anthony,11029
Lois,10908
Jean,10548
Alma,10313
Alfred,10162
Herbert,10147
Betty,9922
Michael,9857
Stanley,9816
Eugene,9726
Lillie,9682
Vera,9638
Kathryn,9534
Stella,9468
Ella,9395
Mattie,9053
Andrew,8994
Lena,8924
Leonard,8795
Elmer,8634
Mae,8423
Blanche,8361
Sylvia,8308
Lucy,8275
Leona,8212
Jennie,7892
Leo,7818
Marguerite,7628
Peter,7525
Violet,7488
Herman,7419
Carrie,7347
Beulah,7290
Russell,7253
Vivian,7237
Ellen,7191
Frederick,7191
Opal,7154
Charlie,7141
Daniel,7102
Genevieve,7040
Jane,7020
Bernard,6983
Edwin,6849
Hattie,6766
Charlotte,6735
Velma,6703
Fannie,6700
Chester,6686
Norman,6609
Floyd,6591
Theodore,6501
Lester,6462
Sam,6411
Clyde,6273
Lee,6256
Leroy,6241
Rosa,6164
Marian,6152
Theresa,6141
Clifford,6032
Cora,6009
Wilma,6004
Woodrow,5980
Inez,5941
Barbara,5933
Georgia,5925
Mamie,5924
Melvin,5872
Juanita,5867
Ada,5828
Emily,5741
Lloyd,5653
Benjamin,5640
Hilda,5568
Milton,5515
Lewis,5504
Philip,5482
Nancy,5414
Lula,5400
Vincent,5317
Cecil,5292
Ray,5261
Eunice,5221
Dora,5193
Alberta,5149
Estelle,5077
Sadie,4981
Oscar,4952
Johnnie,4920
Daisy,4830
Harriet,4825
Kathleen,4815
Martin,4796
Jesse,4789
Sophie,4765
Sara,4730
Maggie,4692
Geneva,4677
Susie,4608
Loretta,4601
Marvin,4599
Christine,4571
Victor,4426
Madeline,4425
Flora,4416
Leon,4411
Geraldine,4384
Alvin,4345
Verna,4334
Olive,4294
Rita,4263
Eddie,4260
Lucile,4253
Edgar,4192
Nora,4188
Lola,4179
Vernon,4128
Stephen,4111
Gerald,4105
Mable,4088
Morris,4084
Maxine,4077
Sidney,4044
Claude,4025
Phyllis,3965
Glenn,3933
Maria,3906
Harvey,3826
Lottie,3771
Ollie,3753
Naomi,3751
Gordon,3747
Everett,3745
Norma,3709
Sally,3689
Henrietta,3683
Erma,3677
Rosie,3666
Wilbur,3660
Maurice,3613
Irma,3606
Audrey,3568
Nettie,3539
Homer,3537
Caroline,3520
Della,3488
Alexander,3470
Eula,3460
Victoria,3449
Arnold,3432
Rachel,3428
Willard,3407
Katie,3344
Ben,3340
Irving,3311
Goldie,3309
Lydia,3305
Allen,3265
Olga,3262
Rebecca,3240
Muriel,3235
Julius,3203
Max,3203
Leslie,3192
Essie,3137
May,3134
Miriam,3124
Roberta,3103
Gilbert,3060
Luther,3027
Effie,3024
Virgil,3014
Amelia,3010
Sallie,3009
Jeanette,2978
Winifred,2949
Warren,2945
Nicholas,2927
Maude,2917
Ora,2881
Nina,2855
Jacob,2838
Fern,2797
Hugh,2774
Shirley,2766
June,2737
Lorraine,2716
Wayne,2715
Addie,2694
Adeline,2692
Hubert,2686
Cleo,2673
Bonnie,2666
Oliver,2640
Wanda,2633
Dolores,2597
Curtis,2583
Carolyn,2577
Isabel,2565
Janet,2562
Lela,2552
Antoinette,2499
Steve,2487
Tom,2472
Nathan,2469
Freda,2461
Lizzie,2458
Horace,2454
Dorothea,2439
Isabelle,2423
Jimmie,2413
Veronica,2402
Iva,2377
Susan,2360
Eileen,2360
Celia,2344
Etta,2309
Manuel,2304
Anita,2286
Wallace,2266
Roland,2258
Lorene,2257
Cecelia,2254
Jeannette,2251
Alex,2242
Jewell,2233
Orville,2227
Otis,2223
Marcella,2219
Ola,2215
Patricia,2193
Mollie,2185
Wesley,2174
Leola,2166
Glen,2165
Faye,2159
Luella,2154
Regina,2151
Archie,2100
Eloise,2095
Edmund,2080
Roger,2049
Angelina,2048
Earnest,2045
Frieda,2044
Willis,2044
Abraham,2044
Franklin,2044
Alta,2017
Elva,2014
Bennie,2007
Flossie,1990
Adele,1988
Mike,1981
Jerome,1975
