name,frequency
Mary,470970
John,385131
William,314867
James,287233
Robert,263605
Helen,244990
Dorothy,215402
Margaret,187279
Joseph,181395
Charles,180758
George,180404
Ruth,173327
Edward,130443
Mildred,121351
Frank,116631
Elizabeth,112110
Anna,111845
Frances,105646
Virginia,100692
Thomas,94436
Evelyn,91835
Walter,91105
Marie,88378
Harold,84016
Richard,81794
Paul,81706
Alice,81697
Henry,79481
Florence,77760
Raymond,75843
Lillian,71879
Willie,71525
Rose,70286
Albert,68944
Arthur,68749
Irene,67586
Harry,66164
Louise,64881
Donald,63944
Catherine,63276
Edna,62434
Gladys,61843
Josephine,59629
Doris,59279
Martha,58401
Ethel,58184
Ruby,58032
Eleanor,55677
Lucille,54897
Ralph,54675
Edith,54552
Thelma,54506
Grace,54241
Hazel,54089
Betty,54004
Jack,53046
Louis,50594
Pauline,49545
Clarence,49327
Carl,49288
Annie,48595
Howard,48037
Marion,47975
Marjorie,47505
Esther,46630
Kenneth,46486
Francis,46461
David,45630
Gertrude,45610
Fred,44148
Jean,43250
Beatrice,42111
Earl,41875
Roy,41442
Clara,40951
Bernice,40519
Lois,40044
Joe,39266
Emma,38437
Ann,38088
Eugene,37967
Ernest,37602
Stanley,37379
Lawrence,37359
Julia,37064
Elsie,36975
Agnes,36705
Bertha,36130
Katherine,35962
Sarah,35800
Jessie,35731
Anthony,35701
Herbert,34805
Leonard,33655
Samuel,33639
Alfred,33315
Eva,32493
Anne,32125
Ida,31856
Pearl,31575
Viola,30605
Michael,30498
Bessie,30185
Jane,29679
Myrtle,29554
Elmer,29314
Kathryn,28736
Laura,28648
Nellie,28429
Andrew,28187
Leo,27547
Stella,27385
Rita,27305
Vera,27169
Mabel,27086
Bernard,26929
Norman,26457
Barbara,26234
Russell,25831
Alma,25686
Peter,25148
Sylvia,25059
Daniel,24806
Edwin,24619
Minnie,24450
Chester,24400
Vivian,24346
Frederick,23826
June,23189
Melvin,23079
Violet,22996
Ella,22938
Marian,22923
Charlotte,22886
Lloyd,22765
Genevieve,22743
Leona,22718
Herman,22405
Juanita,22176
Wilma,22107
Lillie,22097
Leroy,21976
Jennie,21858
Marguerite,21823
Lester,21817
Lucy,21815
Floyd,21810
Clifford,21657
Lena,21516
Theodore,21248
Geraldine,21022
Ellen,20866
Clyde,20866
Blanche,20190
Phyllis,19872
Charlie,19768
Mattie,19709
Mae,19453
Maxine,19427
Opal,19329
