year,name,party,term,salary,position_title
1789,"Washington,George",Unaffiliated,First,25000,PRESIDENT OF THE UNITED STATES
1790,"Washington,George",Unaffiliated,First,25000,PRESIDENT OF THE UNITED STATES
1791,"Washington,George",Unaffiliated,First,25000,PRESIDENT OF THE UNITED STATES
1792,"Washington,George",Unaffiliated,First,25000,PRESIDENT OF THE UNITED STATES
1793,"Washington,George",Unaffiliated,Second,25000,PRESIDENT OF THE UNITED STATES
1794,"Washington,George",Unaffiliated,Second,25000,PRESIDENT OF THE UNITED STATES
1795,"Washington,George",Unaffiliated,Second,25000,PRESIDENT OF THE UNITED STATES
1796,"Washington,George",Unaffiliated,Second,25000,PRESIDENT OF THE UNITED STATES
1797,"Adams,John",Federalist,First,25000,PRESIDENT OF THE UNITED STATES
1798,"Adams,John",Federalist,First,25000,PRESIDENT OF THE UNITED STATES
1799,"Adams,John",Federalist,First,25000,PRESIDENT OF THE UNITED STATES
1800,"Adams,John",Federalist,First,25000,PRESIDENT OF THE UNITED STATES
1801,"Jefferson,Thomas",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1802,"Jefferson,Thomas",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1803,"Jefferson,Thomas",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1804,"Jefferson,Thomas",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1805,"Jefferson,Thomas",Democratic-Republican,Second,25000,PRESIDENT OF THE UNITED STATES
1806,"Jefferson,Thomas",Democratic-Republican,Second,25000,PRESIDENT OF THE UNITED STATES
1807,"Jefferson,Thomas",Democratic-Republican,Second,25000,PRESIDENT OF THE UNITED STATES
1808,"Jefferson,Thomas",Democratic-Republican,Second,25000,PRESIDENT OF THE UNITED STATES
1809,"Madison,James,Jr.",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1810,"Madison,James,Jr.",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1811,"Madison,James,Jr.",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1812,"Madison,James,Jr.",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1813,"Madison,James,Jr.",Democratic-Republican,Second,25000,PRESIDENT OF THE UNITED STATES
1814,"Madison,James,Jr.",Democratic-Republican,Second,25000,PRESIDENT OF THE UNITED STATES
1815,"Madison,James,Jr.",Democratic-Republican,Second,25000,PRESIDENT OF THE UNITED STATES
1816,"Madison,James,Jr.",Democratic-Republican,Second,25000,PRESIDENT OF THE UNITED STATES
1817,"Monroe,James",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1818,"Monroe,James",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1819,"Monroe,James",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1820,"Monroe,James",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1821,"Monroe,James",Democratic-Republican,Second,25000,PRESIDENT OF THE UNITED STATES
1822,"Monroe,James",Democratic-Republican,Second,25000,PRESIDENT OF THE UNITED STATES
1823,"Monroe,James",Democratic-Republican,Second,25000,PRESIDENT OF THE UNITED STATES
1824,"Monroe,James",Democratic-Republican,Second,25000,PRESIDENT OF THE UNITED STATES
1825,"Adams,John Quincy",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1826,"Adams,John Quincy",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1827,"Adams,John Quincy",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1828,"Adams,John Quincy",Democratic-Republican,First,25000,PRESIDENT OF THE UNITED STATES
1829,"Jackson,Andrew",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1830,"Jackson,Andrew",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1831,"Jackson,Andrew",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1832,"Jackson,Andrew",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1833,"Jackson,Andrew",Democratic,Second,25000,PRESIDENT OF THE UNITED STATES
1834,"Jackson,Andrew",Democratic,Second,25000,PRESIDENT OF THE UNITED STATES
1835,"Jackson,Andrew",Democratic,Second,25000,PRESIDENT OF THE UNITED STATES
1836,"Jackson,Andrew",Democratic,Second,25000,PRESIDENT OF THE UNITED STATES
1837,"Van Buren,Martin",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1838,"Van Buren,Martin",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1839,"Van Buren,Martin",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1840,"Van Buren,Martin",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1841,"Harrison,William Henry",Whig,First,25000,PRESIDENT OF THE UNITED STATES
1841,"Tyler,John",Whig,First,25000,PRESIDENT OF THE UNITED STATES
1842,"Tyler,John",Whig,First,25000,PRESIDENT OF THE UNITED STATES
1843,"Tyler,John",Whig,First,25000,PRESIDENT OF THE UNITED STATES
1844,"Tyler,John",Whig,First,25000,PRESIDENT OF THE UNITED STATES
1845,"Polk,James Knox",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1846,"Polk,James Knox",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1847,"Polk,James Knox",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1848,"Polk,James Knox",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1849,"Taylor,Zachary",Whig,First,25000,PRESIDENT OF THE UNITED STATES
1850,"Fillmore,Millard",Whig,First,25000,PRESIDENT OF THE UNITED STATES
1851,"Fillmore,Millard",Whig,First,25000,PRESIDENT OF THE UNITED STATES
1852,"Fillmore,Millard",Whig,First,25000,PRESIDENT OF THE UNITED STATES
1853,"Pierce,Franklin",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1854,"Pierce,Franklin",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1855,"Pierce,Franklin",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1856,"Pierce,Franklin",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1857,"Buchanan,James,Jr.",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1858,"Buchanan,James,Jr.",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1859,"Buchanan,James,Jr.",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1860,"Buchanan,James,Jr.",Democratic,First,25000,PRESIDENT OF THE UNITED STATES
1861,"Lincoln,Abraham",Republican,First,25000,PRESIDENT OF THE UNITED STATES
1862,"Lincoln,Abraham",Republican,First,25000,PRESIDENT OF THE UNITED STATES
1863,"Lincoln,Abraham",Republican,First,25000,PRESIDENT OF THE UNITED STATES
1864,"Lincoln,Abraham",Republican,First,25000,PRESIDENT OF THE UNITED STATES
1865,"Lincoln,Abraham",National Union,Second,25000,PRESIDENT OF THE UNITED STATES
1865,"Johnson,Andrew",National Union,First,25000,PRESIDENT OF THE UNITED STATES
1869,"Grant,Ulysses Sam",Republican,First,25000,PRESIDENT OF THE UNITED STATES
1870,"Grant,Ulysses Sam",Republican,First,25000,PRESIDENT OF THE UNITED STATES
1871,"Grant,Ulysses Sam",Republican,First,25000,PRESIDENT OF THE UNITED STATES
1872,"Grant,Ulysses Sam",Republican,First,25000,PRESIDENT OF THE UNITED STATES
1873,"Grant,Ulysses Sam",Republican,Second,50000,PRESIDENT OF THE UNITED STATES
1874,"Grant,Ulysses Sam",Republican,Second,50000,PRESIDENT OF THE UNITED STATES
1875,"Grant,Ulysses Sam",Republican,Second,50000,PRESIDENT OF THE UNITED STATES
1876,"Grant,Ulysses Sam",Republican,Second,50000,PRESIDENT OF THE UNITED STATES
1877,"Hayes,Rutherford Birchard",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1878,"Hayes,Rutherford Birchard",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1879,"Hayes,Rutherford Birchard",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1890,"Hayes,Rutherford Birchard",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1881,"Garfield,James Abram",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1881,"Arthur,Chester Alan",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1882,"Arthur,Chester Alan",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1883,"Arthur,Chester Alan",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1884,"Arthur,Chester Alan",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1885,"Cleveland,Stephen Grover",Democratic,First,50000,PRESIDENT OF THE UNITED STATES
1886,"Cleveland,Stephen Grover",Democratic,First,50000,PRESIDENT OF THE UNITED STATES
1887,"Cleveland,Stephen Grover",Democratic,First,50000,PRESIDENT OF THE UNITED STATES
1888,"Cleveland,Stephen Grover",Democratic,First,50000,PRESIDENT OF THE UNITED STATES
1889,"Harrison,Benjamin",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1890,"Harrison,Benjamin",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1891,"Harrison,Benjamin",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1892,"Harrison,Benjamin",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1893,"Cleveland,Stephen Grover",Democratic,Second,50000,PRESIDENT OF THE UNITED STATES
1894,"Cleveland,Stephen Grover",Democratic,Second,50000,PRESIDENT OF THE UNITED STATES
1895,"Cleveland,Stephen Grover",Democratic,Second,50000,PRESIDENT OF THE UNITED STATES
1896,"Cleveland,Stephen Grover",Democratic,Second,50000,PRESIDENT OF THE UNITED STATES
1897,"McKinley,William",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1898,"McKinley,William",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1899,"McKinley,William",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1900,"McKinley,William",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1901,"Roosevelt,Theodore,Jr.",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1902,"Roosevelt,Theodore,Jr.",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1903,"Roosevelt,Theodore,Jr.",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1904,"Roosevelt,Theodore,Jr.",Republican,First,50000,PRESIDENT OF THE UNITED STATES
1905,"Roosevelt,Theodore,Jr.",Republican,Second,50000,PRESIDENT OF THE UNITED STATES
1906,"Roosevelt,Theodore,Jr.",Republican,Second,50000,PRESIDENT OF THE UNITED STATES
1907,"Roosevelt,Theodore,Jr.",Republican,Second,50000,PRESIDENT OF THE UNITED STATES
1908,"Roosevelt,Theodore,Jr.",Republican,Second,50000,PRESIDENT OF THE UNITED STATES
1909,"Taft,William Howard",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1910,"Taft,William Howard",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1911,"Taft,William Howard",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1912,"Taft,William Howard",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1913,"Wilson,Thomas Woodrow",Democratic,First,75000,PRESIDENT OF THE UNITED STATES
1914,"Wilson,Thomas Woodrow",Democratic,First,75000,PRESIDENT OF THE UNITED STATES
1915,"Wilson,Thomas Woodrow",Democratic,First,75000,PRESIDENT OF THE UNITED STATES
1916,"Wilson,Thomas Woodrow",Democratic,First,75000,PRESIDENT OF THE UNITED STATES
1917,"Wilson,Thomas Woodrow",Democratic,Second,75000,PRESIDENT OF THE UNITED STATES
1918,"Wilson,Thomas Woodrow",Democratic,Second,75000,PRESIDENT OF THE UNITED STATES
1919,"Wilson,Thomas Woodrow",Democratic,Second,75000,PRESIDENT OF THE UNITED STATES
1920,"Wilson,Thomas Woodrow",Democratic,Second,75000,PRESIDENT OF THE UNITED STATES
1921,"Harding,Warren Gamaliel",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1922,"Harding,Warren Gamaliel",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1923,"Coolidge,Calvin",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1924,"Coolidge,Calvin",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1925,"Coolidge,Calvin",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1926,"Coolidge,Calvin",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1927,"Coolidge,Calvin",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1928,"Coolidge,Calvin",Republican,First,75000,PRESIDENT OF THE UNITED STATES
1929,"Hoover,Herbert Clark",Republican,First,75000,PRESIDENT OF THE UNITED STATES
